Timestamp,"Considerando sua última experiência com essas características, ela foi Obrigatória ou Opcional?",Qual é a sua idade?,Com qual gênero você se identifica?,Em que Estado você reside? ,Qual é o seu mais alto grau de instrução?,Qual seu tempo total de experiência na engenharia de software?,Qual das alternativas abaixo descreve seu nível profissional atual?,Quantos funcionários a empresa possui? ,Qual é a sua principal área de atuação na engenharia de software no momento? , [Entendi como o experiência de aprendizado se conectou com os objetivos da empresa.]," [Tive o apoio e os recursos necessários (tempo, tecnologia, suporte) da empresa para realizar esta experiência de aprendizado.]", [O conteúdo da experiência de aprendizado atendeu às necessidades da minha função.], [O conteúdo da experiência de aprendizado foi adaptado ao meu nível de experiência.], [Minha opinião foi considerada na criação da experiência de aprendizado que participei.]," [A carga horária desta experiência de aprendizado prejudicou meu tempo pessoal (descanso, vida social).]", [A experiência de aprendizado foi importante para me manter competitivo(a) no mercado.], [O que aprendi na experiência de aprendizado me motivou a buscar novos conhecimentos.], [A liderança da minha área incentivou ativamente minha participação na experiência de aprendizado.], [Tive tempo suficiente durante o expediente para participar da experiência de aprendizado e estudar.], [Participei desta experiência de aprendizado mais por obrigação do que por interesse no conteúdo.]," [A empresa ofereceu incentivos claros para a participação nesta experiência de aprendizado (ex: bônus, folgas, ressarcimento de custos, pontuação em avaliação de desempenho).]"," [A empresa costuma reconhecer os funcionários que se desenvolvem e concluem treinamentos (ex: através de certificados, elogios públicos, comunicados).]", [A experiência de aprendizado que participei foi bem organizado e estruturado.], [Os materiais que recebi para a experiência de aprendizado foram úteis.], [O ambiente da experiência de aprendizado (físico ou virtual) foi adequado para o aprendizado.], [A explicação do instrutor foi clara e fácil de entender.], [A atuação do instrutor foi fundamental para o meu aprendizado e motivação.], [As atividades durante a experiência de aprendizado foram interessantes e variadas.], [A experiência de aprendizado continha uma parte relevante dedicada ao desenvolvimento de soft skills (habilidades comportamentais).], [Fiquei satisfeito(a) com a qualidade da experiência de aprendizado que participei.], [A experiência de aprendizado me ajudou a desenvolver meu raciocínio para resolver problemas.], [Aplicar o que aprendi na experiência de aprendizado melhorou meu desempenho.], [Consigo aplicar no meu trabalho o que aprendi na experiência de aprendizado.], [O que aprendi na experiência de aprendizado me deu mais autonomia no trabalho.], [O suporte da minha liderança foi um incentivo para eu aplicar o que aprendi.], [A experiência de aprendizado que realizei abriu oportunidades de crescimento na empresa (promoção ou aumento salarial).],Qual foi a experiência de aprendizado mais útil que você já fez? Por quê?,"Se você pudesse sugerir uma melhoria nos processos de aprendizado, qual seria?",Column 39,Soube quem na sua empresa foi o responsável por organizar a experiência de aprendizado.,"Exite alguma coisa que vocês gostaria de comentar e não teve oportuni-
dade sobre o tema?"
9/9/2025 10:19:33,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",35,Masculino,Pernambuco (PE),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Sênior,100 ou mais funcionários (Grande empresa),Controle de Qualidade (QA),Concordo,Concordo totalmente,Neutro,Neutro,Discordo totalmente,Discordo,Concordo,Concordo,Neutro,Neutro,Discordo totalmente,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo,Discordo totalmente,Concordo totalmente,Neutro,Concordo,Neutro,Neutro,Neutro,Neutro,"Curso de aplicação/uso de IA, pois é um tópico atual e com diversas oportunidades de aplicação nas atividades cotidianas.",Focar em problemas comuns/recorrentes em projetos e/ou na organização.,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 10:21:38,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",44,Masculino,São Paulo (SP),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Gerente (Foco em pessoas),100 ou mais funcionários (Grande empresa),Liderança Técnica,Concordo totalmente,Concordo,Concordo,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Discordo,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Concordo,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,"Certificação Java, mudou meu entendimento da linguagem e o patamar das minhas soluções.","Estar mais conectado com o dia a dia do colaborador, não somente com a estratégia da empresa.",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 10:23:39,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",32,Feminino,Pernambuco (PE),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Pleno,100 ou mais funcionários (Grande empresa),Controle de Qualidade (QA),Concordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo totalmente,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 10:26:24,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",26,Masculino,Ceará (CE),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Entre 3 e 4 anos.,Pleno,De 50 a 99 funcionários (Média empresa),Desenvolvimento,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo totalmente,Concordo,Neutro,Concordo totalmente,Neutro,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Neutro,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Neutro,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 10:27:32,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",25,Masculino,Ceará (CE),Ensino Superior completo,Entre 1 e 2 anos.,Júnior,100 ou mais funcionários (Grande empresa),DevOps,Concordo totalmente,Concordo,Concordo totalmente,Neutro,Neutro,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Neutro,Concordo totalmente,Uma residência em tecnologia onde após finalizar um curso tive a oportunidade de aplicar e aprender na prática implementações da cultura Devops em uma empresa real de Fortaleza ,"Inclusão de projetos práticos e desafios, com feedbacks e orientações ",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 10:38:17,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",23,Masculino,Pernambuco (PE),Ensino Superior completo,Entre 3 e 4 anos.,Sênior,De 50 a 99 funcionários (Média empresa),Desenvolvimento,Concordo totalmente,Neutro,Concordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Neutro,Discordo totalmente,Neutro,Discordo totalmente,Neutro,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Aplicar o que estudei em um curso da udemy em um projeto real e que funciona até os dias atuais ,Ter aplicação mais práticas com coisas que realmente importam para o mercado e o dia a dia de quem está aprendendo ,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 10:56:10,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",42,Masculino,Amazonas (AM),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Entre 3 e 4 anos.,Gerente (Foco em pessoas),100 ou mais funcionários (Grande empresa),Gestão de Pessoas / Projetos,Neutro,Concordo,Concordo,Discordo totalmente,Discordo totalmente,Neutro,Neutro,Neutro,Concordo,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,Neutro,Neutro,Concordo,Neutro,Discordo,Discordo,MBA em gestão feito presencialmente ,Focar mais em situações reais com exemplos que se aplicam no dia a dia de forma objetiva ,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 10:56:16,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",32,Feminino,Amazonas (AM),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Sênior,100 ou mais funcionários (Grande empresa),Design (UI/UX),Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Treinamento de Product Management ,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 11:02:57,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",36,Masculino,Pernambuco (PE),Ensino Superior incompleto,Entre 3 e 4 anos.,Pleno,100 ou mais funcionários (Grande empresa),Desenvolvimento,Neutro,Discordo,Discordo,Concordo,Discordo,Concordo,Discordo,Discordo,Concordo,Discordo,Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Neutro,Neutro,Neutro,Neutro,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,"Cursos no YouTube, udemy. ",Cursos voltados para a área de atuação do dev,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 11:07:48,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",38,Feminino,Amazonas (AM),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Sênior,100 ou mais funcionários (Grande empresa),Controle de Qualidade (QA),Concordo totalmente,Concordo totalmente,Discordo,Neutro,Discordo totalmente,Discordo totalmente,Discordo,Discordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo,Neutro,Neutro,Neutro,Discordo,Discordo totalmente,Discordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Curso de SCRUM Master. Porque consegui ver o todo do Scrum e kanban,Ter um curso de hard skill e um de soft skill por ano,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/9/2025 11:09:38,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",38,Feminino,Amazonas (AM),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Especialista (Foco técnico),100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo,Concordo,Concordo,Neutro,Neutro,Neutro,Neutro,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Neutro,Concordo,Neutro,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Concordo,Neutro,Concordo,Concordo,Curso que tem assunto direto com que trabalho ,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 11:16:29,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",45,Masculino,Pernambuco (PE),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Pleno,100 ou mais funcionários (Grande empresa),Área de dados,Concordo totalmente,Neutro,Concordo,Concordo,Discordo totalmente,Discordo,Concordo,Concordo totalmente,Discordo,Discordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo totalmente,Trilha de estudos Analista de Dados,Os exercícios poderiam ser mais práticos dentro do escopo de trabalho da empresa.,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 11:21:15,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",27,Masculino,Pernambuco (PE),Ensino Superior completo,Entre 1 e 2 anos.,Em treinamento,De 50 a 99 funcionários (Média empresa),Desenvolvimento,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo,Discordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Neutro,Concordo,Neutro,Concordo,Neutro,Treinamento e estudos para práticas nas plataformas e tipos de linguagens necessários para a trabalhar na empresa. ,"Focar mais no aprendizado dos colaboradores, facilitando acesso a cursos e estudos voltados as plataformas e linguagens usadas. ",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/9/2025 11:36:31,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",29,Masculino,Pernambuco (PE),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Entre 3 e 4 anos.,Pleno,100 ou mais funcionários (Grande empresa),Área de dados,Concordo,Concordo totalmente,Discordo,Concordo,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Neutro,Concordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Neutro,Concordo,Discordo,Neutro,Discordo,Um workshop de um fornecedor que reuniu profissionais da área de diferentes empresas para um evento debatendo dificuldades e tendência da área,Fóruns de debate com mediadores que tivessem um roteiro para direcionar mas que não parecesse algo tão rígido,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
